caption,country,dimensions,full_name,image_url,likes,location,tagged_account,timestamp,user
First full day wearing these bad boys. #todaywasagoodday #underarmour #hovrsummitfattire,US,"{'height': 1080, 'width': 1080}",Mowave,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/159257015_423133888780275_4395906204777170192_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=nbvOxE6mnvUAX-LKqTz&oh=374cc04f84d091f1af30a92de1eef813&oe=60727259,15,"{'street_address': '', 'zip_code': '', 'city_name': '', 'region_name': 'Connecticut', 'country_code': 'US', 'exact_city_match': False, 'exact_region_match': True, 'exact_country_match': False}","['yur_ree_mile', 'katiealau']",2021-03-09 22:01:21,mowave_kicks_and_stuff
"PG 4 EP 

Size : 9 US ( ไซส์อื่นรบกวนสอบถาม )

ค่าจัดส่ง

- ไปรษณีย์ไทย ems 100 บาทต่อ 1 คู่

- kerry express 160 บาท ต่อ 1 คู่

หรือ จัดส่งในรูปแบบอื่นที่ลูกค้าสะดวก

🔺🔻🔺🔻🔺🔻🔺🔻🔺🔻🔺🔻🔺🔻🔺🔻🔺

🔻Line🔻

https://line.me/R/ti/p/%40iji6476c

🔻Call🔻

0825194250

🔻รวดเร็วทันใจ🔻

สนใจสินค้าหรือสอบถามรายละเอียดเพิ่มเติมได้

💥Inbox ข้อความเพจเข้ามาเลยครับผม ( มุมขวาบนของเพจ คลิก ปุ่ม < ส่งข้อความ >

🔻Instagram🔻

https://www.instagram.com/Bom_Basketball_Shop/

สินค้าของแท้ 💯%โดย Bombasketball Shop

🔻🔺🔻🔺🔻🔺🔻🔺🔻🔺🔻🔺🔻🔺🔻🔺🔻
#รองเท้ากีฬา #รองเท้าบาส #รองเท้าบาสราคาถูก #ลดราคา #bombasketballshop #Nike #Adidas #Jordan #Underarmour #Kobe #Lebron #Kyrie #Kevin #Curry #PG #Harden #Lillard #Rose #Wade #Whynot #Probounce #freak1 #sale",,"{'height': 716, 'width': 1080}",รองเท้าบาส ของแท้ 💯%,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/157419108_290231042531600_2300461606418776778_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=108&_nc_ohc=veY9980pZqcAX_raO-K&oh=d42caa614f6e2f10962e11573518f5a2&oe=606FF80E,61,,[],2021-03-09 22:01:01,bom_basketball_shop
"First tennis lesson in the books!

Laney’s eyes were barely open as she came to find me after waking up this morning to ask if it was time to go to tennis. She did so great and can’t wait to play again next week! Looks like we may need to order some new gear to play with at home. 

I am so excited for the sports chapter to begin! I’ve always looked forward to the day I get to be the mom cheering from the sidelines! Though there’s still time before there’s actual matches or games for other sports she may want to try, I literally can’t wait! 

So here’s to trying new things and seeing what Laney enjoys to do most!
.
.
.
#tennisgirl #tennislesson #tennismom #anewfirst #trynewthings #tennistuesday #girlmom #girlgang #underarmour #targetfinds #lovelove #loveall #tennisfamily #proudparentsmoment",US,"{'height': 1080, 'width': 1080}",Multiplying Michie,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158769479_337091001079404_4363527312547317502_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=UV44P2qLL1sAX8aCntN&oh=6ec783328c1a5a85d089a2523ecc7b22&oe=60717D98,11,"{'street_address': '', 'zip_code': '29201, 29203-6, 29209-10, 29212, 29223, 29225, 29229', 'city_name': 'Columbia, South Carolina', 'region_name': '', 'country_code': 'US', 'exact_city_match': True, 'exact_region_match': False, 'exact_country_match': False}","['underarmour', 'target']",2021-03-09 22:00:24,multiplyingmichie
"Follow @the_rock_fitness._ for more

#dwaynejohnson #therockettes #actor #dwaynejohnsonrocks #therock #hollywood #therockshow #handsomeactor #projectrock  #hollywoodcelebrity #dwaynejohnson2020 #wrestling #therockboat #bodybuilding #mcm #wwe #underarmour #dwaynejohnsonfans #hollywoodcelebrity",,"{'height': 750, 'width': 750}",The Rock,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158308640_267645718186621_6910836295312438714_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=8mlrlcyDrrkAX8D-OV5&oh=1d75e19446335b1b443712a7a58fb285&oe=6071DF62,2,,['therockorg'],2021-03-09 21:59:09,the_rock_fitness._
"Double Tap For Love 
@thebigdogofficials
@thebigdogofficials
@thebigdogofficials
.
.
.
#romanreigns #wweraw
#wwe #gymmotivation #fastfive ##wwememes #work
#fitness #vindiesel #gym
#thefateofthefurious #actorlife 
#projectrock #underarmour #fashionblogger #styleblogger
#theshield#superstar
#royalenfield#wwenetwork
#romanreigns#instadaily
#gym#wwe#workout
#instagood#instagram
#romanreigns#wwe#royalenfield
#therockfanpage #fitnessmotivation
#royalrumble #undertaker
#wrestling#wrestlemania
#theshield #romanreigns",IN,"{'height': 750, 'width': 750}",𝐑𝐨𝐦𝐚𝐧 𝐑𝐞𝐢𝐠𝐧𝐬,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/159068459_1388413898168933_7654292741017786021_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=d44kUu38x-UAX8n4Kbp&oh=6c71744603b75c6630caa55b84de29bf&oe=6072FBE5,7,"{'street_address': '', 'zip_code': '395003', 'city_name': 'Surat, Gujarat', 'region_name': '', 'country_code': 'IN', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 21:58:47,thebigdogofficials
"Double Tap For Love 
@thebigdogofficials
@thebigdogofficials
@thebigdogofficials
.
.
.
#romanreigns #wweraw
#wwe #gymmotivation #fastfive ##wwememes #work
#fitness #vindiesel #gym
#thefateofthefurious #actorlife 
#projectrock #underarmour #fashionblogger #styleblogger
#theshield#superstar
#royalenfield#wwenetwork
#romanreigns#instadaily
#gym#wwe#workout
#instagood#instagram
#romanreigns#wwe#royalenfield
#therockfanpage #fitnessmotivation
#royalrumble #undertaker
#wrestling#wrestlemania
#theshield #romanreigns",IN,"{'height': 750, 'width': 750}",𝐑𝐨𝐦𝐚𝐧 𝐑𝐞𝐢𝐠𝐧𝐬,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158571215_807810316483293_8827576507322655856_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=Cdcc6l7a_aoAX_5QNrO&oh=a912866ae39dd9bbff30df151ca083e6&oe=6070573C,9,"{'street_address': '', 'zip_code': '395003', 'city_name': 'Surat, Gujarat', 'region_name': '', 'country_code': 'IN', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 21:58:21,thebigdogofficials
Reflecting on my reflection and pondering my direction! #fitgirls #gymgoddess  #tatted #chestday #girlswholift #underarmour #pose #mirrorselfie #gymgoals #motivation #gohard #grind on,US,"{'height': 1350, 'width': 1080}",Trayce Cooper,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158322286_787346431883901_4696703419871154831_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=uPYxwgTSk1wAX-nbYTP&oh=1a99cc1f1163a34f464e419c114ac181&oe=60730616,65,"{'street_address': '102 West Gate Mini Mall', 'zip_code': '24277', 'city_name': 'Pennington Gap, Virginia', 'region_name': '', 'country_code': 'US', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}",[],2021-03-09 21:58:16,trayce101
"Reposted from @putumiraindriani Charity Virtual Run/Ride ITB BerSATU Bikin ASIK @99virtualrace.id 

.
.
.
.
.

#yogaindonesia #yogamom  #runningmom #mother  #grateful #momlife #son #daughter #happy  #positivevibes #family  #fitover40 #strongwomen  #runningismytherapy #garmin #red #trailrunning #underarmour 
 #ricefield #morning #beautiful #sunrise #mountain #namaste #riotindonesia #99virtualrace #virtualrun #charity #beach",,"{'height': 1080, 'width': 1080}",RUN ON BALI,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158857692_701926580503968_5338930354632656001_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=xqWOLoJV5u8AX_YVA6N&oh=acd5de10d0984588c00d0c0002d001c3&oe=6071CB05,21,,[],2021-03-09 21:57:57,runonbali
Chamarra Under Armour talla M $700 #underarmour,,"{'height': 1350, 'width': 1080}",SHOPPING CASTEL 🛍,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/159027252_264012428538866_5589798231444415140_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=3FXdHnQfXYgAX-Ug64U&oh=9651984c3f6924949d3878e4af99ded6&oe=607291DF,0,,[],2021-03-09 21:57:07,shopping_castel
"Feels good to be back!💪🏾🏋🏾‍♂️🤘🏾#GYMRATFITNESS  #IRONADDICT4LIFE #ISYMFS #MOTIVATOR  #PROGRESS  #DONTQUIT #STAYHEALTHY #LIVELIFE #DMV #MVM #PUTINWORK #FITNESS #EXERCISE  #BEPOSITIVE #DONTHATE #KEEPIT100  #UNDERARMOUR #GYMLIVIN4LIFE #FOCUS #TRAIN #GYMTIME
#GETSHITDONE #EATHEALTHY
#BODYBUILDING  #PROTEIN #GAINZ #TRUSTYAPROCESS #SELFSTARTER #BUSINESSOWNER
#SOULNATION",,"{'height': 1080, 'width': 1080}",GYMRAT8831/GYMRAT FITNESS LLC,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/158706276_340692677343035_5590731619409429534_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=a1BwySNPjTkAX-pUZnV&oh=b7a28365a81a154d629f8118edbad987&oe=60725231,12,,[],2021-03-09 21:56:45,gymrat8831
"Straight legs is everything in calisthenics...

It gives that perfect straight body control with the most leverage placed on the muscles. Of course banana back and straddle have there place in the progressions, but really focusing on getting that perfect form down perfectly 👌🏻 
.
.
.
.
#thenx #hspu #handstand #calisthenics #calisthenicsworkout #calisthenicsbeginner #fitness #underarmour #woodparallettes #bodyweightworkout",,"{'height': 750, 'width': 750}",Dalton Esselman,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158480672_214022300461063_5624881479255419915_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=uqWyyGopJDkAX_TSdX4&oh=4398a0fb83191386a9e70f5a2f8a146e&oe=604A6818,8,,[],2021-03-09 21:56:30,dalton_esselman
"~DAMA 🔥
~Quedate en casa que nosotros te hacemos llegar tu pedido hasta la puerta de tu casa🚨🤪 Envios nacionales🔝💯
Pregunta por el modelo que desees🔝☢
WhatsApp: 3008235638🔝

#shoes #sincelejo #superstar #zapatos #tenis #guayos #zapatillas #nike #adidas #nikeair #gucci #guccigang #rebook #puma #fila #underarmour #tommyhilfiger #camisetas #polo #pantalonetas",,"{'height': 1080, 'width': 1080}",👟Dueño JESUS DANIEL TORRES👇,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158608544_1003025003561416_4680301589609765921_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=CaHmeldO3XwAX84W4Kl&oh=8ca071f6d0195884bba770330a758f33&oe=60702CEA,3,,[],2021-03-09 21:54:26,shoes_sport_sincelejo
"CABALLERO 🔥
~Quedate en casa que nosotros te hacemos llegar tu pedido hasta la puerta de tu casa🚨🤪 Envios nacionales🔝💯
Pregunta por el modelo que desees🔝☢
WhatsApp: 3008235638🔝

#shoes #sincelejo #superstar #zapatos #tenis #guayos #zapatillas #nike #adidas #nikeair #gucci #guccigang #rebook #puma #fila #underarmour #tommyhilfiger #camisetas #polo #pantalonetas",,"{'height': 1080, 'width': 1080}",👟Dueño JESUS DANIEL TORRES👇,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/159290696_184965649799674_8409615952991834675_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=OkLudzYbEVgAX9xlZuE&oh=fd11ab46b01c40d382970048073d0206&oe=60727D0B,0,,[],2021-03-09 21:53:55,shoes_sport_sincelejo
"Sometimes, the hardest part of a Training Program is getting started. Taking that initiative to seek out what's right specifically for your body and goals just like my new client @jacobrodonets15 . Even though he didnt have a lot of previous experience,  he knew, he wanted to improve his strength, functional mobility and balance. He decided to come see me for some programming advice.

Accountability, Motivation, Expert Support, Intensity, Variety and Safety are just a short list of reasons why it's beneficial to come train with me @af_surrey . Happy to chat if you have any questions.
.
.
.
.
.
.
.
.
.
.
📸: @wanderwithmary",CA,"{'height': 1351, 'width': 1080}",▶Damony Simmonds◀,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/p1080x1080/158948872_273917847474487_7516801667474832136_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=FmuG2bCuCUQAX-7gMli&oh=aa758e6706a366b8a75ee192db979838&oe=6072E398,27,"{'street_address': '12830 96 Avenue', 'zip_code': 'V3V 6A8', 'city_name': 'Surrey, British Columbia', 'region_name': '', 'country_code': 'CA', 'exact_city_match': False, 'exact_region_match': False, 'exact_country_match': False}","['anytimefitness', 'af_surrey', 'jacobrodonets15', 'dsimmonds_fitness']",2021-03-09 21:52:17,dsimmonds_fitness
"🔥 The savings are still going strong! 🔥

🚨 HOT DEAL ALERT 🚨 
Get 50*% off kid’s Under Armour gear with code KIDS50 & FREE shipping at $60+! These shorts are just $8.49! 🤯 ➡️ (ad) https://rstyle.me/cz-n/e4g25ycssuf

Shop all sale HERE (only items red-lined have add 50*% off) ➡️ (ad) https://rstyle.me/+AJjpMB6ebC4jWu8SW4co-Q

See the rest of Oh So Pretty’s ✨d e a l s✨ for today here ➡️ #OSPMar9

Be sure to say if you snag!

NOTE: Prices & codes are subject to change at anytime by the sellers.

#underarmour",,"{'height': 1080, 'width': 1080}",Rebecca Fritz,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/fr/e15/s1080x1080/158412970_486895102730202_1237464146631897489_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=ibqteBowqKAAX-MPArQ&oh=dc4c74c5ce1a4924e6b8f648dd167dc1&oe=6071D024,0,,[],2021-03-09 21:49:48,ohsoprettylifestyle
"“Got More Work To Do”
I Think We Ain’t Done Yet 🗣
Senior Season Is Going To Be Crazy 🏀
•
•
•
#basketball #womensbasketball #baller #hooper #athlete #player #sportstraining #highschool #pros #overseas #highschoolbasketball #college #underarmour #nike #nikehoops #underarmourshoes #underarmourbasketball #passion #hardwork #grindhard #golive #toughenough #sports #espn #stlouis #stl #kansascity #kansas #bleacherreport",US,"{'height': 1080, 'width': 1080}",Glenn Bradford,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158920877_277309477117101_2688262021650398352_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=RTE354VkFrkAX-snfxC&oh=682ad5feb05306c9da61542b0d3eae6c&oe=6070FB85,44,"{'street_address': '', 'zip_code': '64101-64102, 64105-64106, 64108-64114, 64116-64121, 64123-64134, 64136-64139, 64141, 64144-64149, 64151-64158, 64161, 64163-64168, 64170-64172, 64179-64180, 64183-64184, 64187-64188, 64190-64193, 64195-64199, 64999', 'city_name': 'Kansas City, Missouri', 'region_name': '', 'country_code': 'US', 'exact_city_match': True, 'exact_region_match': False, 'exact_country_match': False}","['kenn_townsend', 'parkhillgirlsbasketball']",2021-03-09 21:49:01,_toughenough
"Week 2 Grind ✅
.
.
.
.
Got up alot of shots today, always work on them handles & cardio to end‼️ 
Great work, see everyone next week‼️

#Beattheodds #GroundUp  #grind #training #C4Academy #chaseyourdream #basketball #Iowa #NewYork #Texas #hoops #nike #adidas #puma #underarmour #together #NBA #NCAA",US,"{'height': 420, 'width': 750}",Beat The Odds / C4 Academy,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158133691_203752431325873_5858321847263936312_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=V0KW_FkzNXIAX9ijVEM&oh=7ccf99998638e25e45d3d948762f30dd&oe=604AECD8,9,"{'street_address': '', 'zip_code': '', 'city_name': '', 'region_name': 'Iowa', 'country_code': 'US', 'exact_city_match': False, 'exact_region_match': True, 'exact_country_match': False}",[],2021-03-09 21:48:59,beattheodds_academy
"New items just arrived for the Abundant Spring/Summer collection! To own this item, DM me. 😎 CHECK OUT FULL COLLECTION ON POSHMARK @abundantatoms",,"{'height': 1080, 'width': 1080}",Mark Anthony,https://instagram.ffxe1-1.fna.fbcdn.net/v/t51.2885-15/e35/158306513_133954651973843_4057731727526807344_n.jpg?tp=1&_nc_ht=instagram.ffxe1-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=DBf0D6jT4SwAX95EJ_s&oh=300cdfc33d139181435b05614536cbaf&oe=60729C76,5,,[],2021-03-09 21:48:28,vibesbymarkanthony
